"","Minute","Team","Margin"
"225",33,"TOR",26
"226",34,"TOR",-4
"227",35,"TOR",13
"228",36,"TOR",-20
"229",37,"TOR",19
"230",38,"TOR",-18
"231",39,"TOR",-39
"232",40,"TOR",12
"233",41,"TOR",13
"234",42,"TOR",14
"235",43,"TOR",-14
"236",44,"TOR",5
"237",45,"TOR",2
"238",46,"TOR",-16
"239",47,"TOR",0
"240",48,"TOR",-13
"241",1,"CLE",-1
"242",2,"CLE",-4
"243",3,"CLE",-52
"244",4,"CLE",-16
"245",5,"CLE",17
"246",6,"CLE",-39
"247",7,"CLE",-8
"248",8,"CLE",-1
"249",9,"CLE",-23
"250",10,"CLE",-10
"251",11,"CLE",-18
"252",12,"CLE",-21
"253",13,"CLE",22
"254",14,"CLE",4
"255",15,"CLE",-25
"256",16,"CLE",-5
"257",17,"CLE",30
"258",18,"CLE",-49
"259",19,"CLE",-36
"260",20,"CLE",-17
"261",21,"CLE",-24
"262",22,"CLE",-53
"263",23,"CLE",1
"264",24,"CLE",-37
"265",25,"CLE",-38
"266",26,"CLE",37
"267",27,"CLE",-62
"268",28,"CLE",13
"269",29,"CLE",-31
"270",30,"CLE",-40
"271",31,"CLE",-47
"272",32,"CLE",-56
"273",33,"CLE",22
"274",34,"CLE",-13
"275",35,"CLE",-3
"276",36,"CLE",15
"277",37,"CLE",-32
"278",38,"CLE",30
"279",39,"CLE",-34
"280",40,"CLE",-28
"281",41,"CLE",9
"282",42,"CLE",-10
"283",43,"CLE",-14
"284",44,"CLE",-74
"285",45,"CLE",21
"286",46,"CLE",6
"287",47,"CLE",11
"288",48,"CLE",5
"289",1,"MIL",33
"290",2,"MIL",-16
"291",3,"MIL",12
"292",4,"MIL",34
"293",5,"MIL",12
"294",6,"MIL",17
"295",7,"MIL",1
"296",8,"MIL",-43
"297",9,"MIL",-3
"298",10,"MIL",44
"299",11,"MIL",-26
"300",12,"MIL",46
"301",13,"MIL",-9
"302",14,"MIL",64
"303",15,"MIL",5
"304",16,"MIL",23
"305",17,"MIL",25
"306",18,"MIL",52
"307",19,"MIL",44
"308",20,"MIL",19
"309",21,"MIL",28
"310",22,"MIL",19
"311",23,"MIL",5
"312",24,"MIL",-10
"313",25,"MIL",-15
"314",26,"MIL",1
"315",27,"MIL",39
"316",28,"MIL",-13
"317",29,"MIL",50
"318",30,"MIL",14
"319",31,"MIL",21
"320",32,"MIL",-2
"321",33,"MIL",23
"322",34,"MIL",14
"323",35,"MIL",68
"324",36,"MIL",-3
"325",37,"MIL",23
"326",38,"MIL",14
"327",39,"MIL",16
"328",40,"MIL",27
"329",41,"MIL",14
"330",42,"MIL",11
"331",43,"MIL",-1
"332",44,"MIL",-18
"333",45,"MIL",22
"334",46,"MIL",5
"335",47,"MIL",37
"336",48,"MIL",0
"337",1,"CHA",-64
"338",2,"CHA",20
"339",3,"CHA",-19
"340",4,"CHA",-10
"341",5,"CHA",11
"342",6,"CHA",-3
"343",7,"CHA",24
"344",8,"CHA",11
"345",9,"CHA",-26
"346",10,"CHA",-5
"347",11,"CHA",-22
"348",12,"CHA",-17
"349",13,"CHA",-4
"350",14,"CHA",16
"351",15,"CHA",0
"352",16,"CHA",-28
"353",17,"CHA",4
"354",18,"CHA",-6
"355",19,"CHA",27
"356",20,"CHA",23
"357",21,"CHA",8
"358",22,"CHA",-19
"359",23,"CHA",-15
"360",24,"CHA",39
"361",25,"CHA",32
"362",26,"CHA",-17
"363",27,"CHA",43
"364",28,"CHA",47
"365",29,"CHA",-17
"366",30,"CHA",28
"367",31,"CHA",-14
"368",32,"CHA",-15
"369",33,"CHA",3
"370",34,"CHA",-3
"371",35,"CHA",-2
"372",36,"CHA",3
"373",37,"CHA",-61
"374",38,"CHA",16
"375",39,"CHA",-6
"376",40,"CHA",12
"377",41,"CHA",11
"378",42,"CHA",-32
"379",43,"CHA",4
"380",44,"CHA",-42
"381",45,"CHA",27
"382",46,"CHA",12
"383",47,"CHA",-19
"384",48,"CHA",-16
"385",1,"UTA",4
"386",2,"UTA",-16
"387",3,"UTA",38
"388",4,"UTA",29
"389",5,"UTA",16
"390",6,"UTA",-39
"391",7,"UTA",-3
"392",8,"UTA",-12
"393",9,"UTA",37
"394",10,"UTA",-8
"395",11,"UTA",36
"396",12,"UTA",36
"397",13,"UTA",-37
"398",14,"UTA",26
"399",15,"UTA",28
"400",16,"UTA",21
"401",17,"UTA",49
"402",18,"UTA",33
"403",19,"UTA",2
"404",20,"UTA",-14
"405",21,"UTA",10
"406",22,"UTA",28
"407",23,"UTA",22
"408",24,"UTA",-3
"409",25,"UTA",5
"410",26,"UTA",27
"411",27,"UTA",-14
"412",28,"UTA",-7
"413",29,"UTA",44
"414",30,"UTA",54
"415",31,"UTA",6
"416",32,"UTA",-25
"417",33,"UTA",-22
"418",34,"UTA",-4
"419",35,"UTA",-41
"420",36,"UTA",32
"421",37,"UTA",47
"422",38,"UTA",-16
"423",39,"UTA",-12
"424",40,"UTA",13
"425",41,"UTA",15
"426",42,"UTA",-27
"427",43,"UTA",29
"428",44,"UTA",-16
"429",45,"UTA",20
"430",46,"UTA",-5
"431",47,"UTA",32
"432",48,"UTA",-41
"433",1,"SAC",-8
"434",2,"SAC",10
"435",3,"SAC",20
"436",4,"SAC",-42
"437",5,"SAC",-28
"438",6,"SAC",1
"439",7,"SAC",15
"440",8,"SAC",15
"441",9,"SAC",-15
"442",10,"SAC",-15
"443",11,"SAC",-37
"444",12,"SAC",43
"445",13,"SAC",-9
"446",14,"SAC",-30
"447",15,"SAC",17
"448",16,"SAC",5
"449",17,"SAC",-5
"450",18,"SAC",17
"451",19,"SAC",-20
"452",20,"SAC",-27
"453",21,"SAC",-8
"454",22,"SAC",-15
"455",23,"SAC",17
"456",24,"SAC",20
"457",25,"SAC",-8
"458",26,"SAC",11
"459",27,"SAC",-20
"460",28,"SAC",36
"461",29,"SAC",48
"462",30,"SAC",-16
"463",31,"SAC",11
"464",32,"SAC",3
"465",33,"SAC",-2
"466",34,"SAC",-26
"467",35,"SAC",-1
"468",36,"SAC",-17
"469",37,"SAC",-39
"470",38,"SAC",29
"471",39,"SAC",27
"472",40,"SAC",-40
"473",41,"SAC",15
"474",42,"SAC",-1
"475",43,"SAC",4
"476",44,"SAC",29
"477",45,"SAC",-10
"478",46,"SAC",13
"479",47,"SAC",-10
"480",48,"SAC",3
"481",1,"IND",-12
"482",2,"IND",-46
"483",3,"IND",-7
"484",4,"IND",-35
"485",5,"IND",-5
"486",6,"IND",49
"487",7,"IND",11
"488",8,"IND",8
"489",9,"IND",25
"490",10,"IND",17
"491",11,"IND",-15
"492",12,"IND",4
"493",13,"IND",48
"494",14,"IND",22
"495",15,"IND",15
"496",16,"IND",10
"497",17,"IND",-2
"498",18,"IND",11
"499",19,"IND",20
"500",20,"IND",6
"501",21,"IND",3
"502",22,"IND",8
"503",23,"IND",3
"504",24,"IND",24
"505",25,"IND",22
"506",26,"IND",17
"507",27,"IND",-23
"508",28,"IND",14
"509",29,"IND",10
"510",30,"IND",8
"511",31,"IND",16
"512",32,"IND",-3
"513",33,"IND",-11
"514",34,"IND",-28
"515",35,"IND",-21
"516",36,"IND",41
"517",37,"IND",-39
"518",38,"IND",3
"519",39,"IND",-13
"520",40,"IND",31
"521",41,"IND",-3
"522",42,"IND",0
"523",43,"IND",27
"524",44,"IND",43
"525",45,"IND",-10
"526",46,"IND",4
"527",47,"IND",-10
"528",48,"IND",43
"529",1,"MEM",-3
"530",2,"MEM",1
"531",3,"MEM",4
"532",4,"MEM",47
"533",5,"MEM",-11
"534",6,"MEM",12
"535",7,"MEM",-3
"536",8,"MEM",-24
"537",9,"MEM",-8
"538",10,"MEM",48
"539",11,"MEM",16
"540",12,"MEM",-22
"541",13,"MEM",8
"542",14,"MEM",-10
"543",15,"MEM",-52
"544",16,"MEM",26
"545",17,"MEM",-1
"546",18,"MEM",-5
"547",19,"MEM",-5
"548",20,"MEM",31
"549",21,"MEM",-36
"550",22,"MEM",-14
"551",23,"MEM",24
"552",24,"MEM",26
"553",25,"MEM",-4
"554",26,"MEM",8
"555",27,"MEM",-28
"556",28,"MEM",-10
"557",29,"MEM",5
"558",30,"MEM",-6
"559",31,"MEM",-2
"560",32,"MEM",-10
"561",33,"MEM",-61
"562",34,"MEM",23
"563",35,"MEM",-25
"564",36,"MEM",-33
"565",37,"MEM",2
"566",38,"MEM",-42
"567",39,"MEM",-28
"568",40,"MEM",10
"569",41,"MEM",14
"570",42,"MEM",-10
"571",43,"MEM",4
"572",44,"MEM",-11
"573",45,"MEM",-12
"574",46,"MEM",-14
"575",47,"MEM",-18
"576",48,"MEM",7
"577",1,"LAC",24
"578",2,"LAC",-5
"579",3,"LAC",7
