"","Minute","Team","Margin"
"1113",9,"ATL",-18
"1114",10,"ATL",8
"1115",11,"ATL",-1
"1116",12,"ATL",-4
"1117",13,"ATL",25
"1118",14,"ATL",-16
"1119",15,"ATL",18
"1120",16,"ATL",9
"1121",17,"ATL",-11
"1122",18,"ATL",4
"1123",19,"ATL",16
"1124",20,"ATL",9
"1125",21,"ATL",-4
"1126",22,"ATL",-1
"1127",23,"ATL",-8
"1128",24,"ATL",-28
"1129",25,"ATL",-38
"1130",26,"ATL",-39
"1131",27,"ATL",16
"1132",28,"ATL",-39
"1133",29,"ATL",-6
"1134",30,"ATL",-27
"1135",31,"ATL",-51
"1136",32,"ATL",-15
"1137",33,"ATL",-41
"1138",34,"ATL",-2
"1139",35,"ATL",-5
"1140",36,"ATL",-24
"1141",37,"ATL",22
"1142",38,"ATL",-14
"1143",39,"ATL",9
"1144",40,"ATL",-45
"1145",41,"ATL",7
"1146",42,"ATL",-3
"1147",43,"ATL",4
"1148",44,"ATL",-9
"1149",45,"ATL",-13
"1150",46,"ATL",6
"1151",47,"ATL",37
"1152",48,"ATL",-3
"1153",1,"MIN",-39
"1154",2,"MIN",2
"1155",3,"MIN",14
"1156",4,"MIN",21
"1157",5,"MIN",4
"1158",6,"MIN",22
"1159",7,"MIN",-29
"1160",8,"MIN",-8
"1161",9,"MIN",-14
"1162",10,"MIN",12
"1163",11,"MIN",-4
"1164",12,"MIN",7
"1165",13,"MIN",12
"1166",14,"MIN",16
"1167",15,"MIN",1
"1168",16,"MIN",-25
"1169",17,"MIN",-21
"1170",18,"MIN",-5
"1171",19,"MIN",-12
"1172",20,"MIN",-16
"1173",21,"MIN",-8
"1174",22,"MIN",-3
"1175",23,"MIN",1
"1176",24,"MIN",-3
"1177",25,"MIN",16
"1178",26,"MIN",-22
"1179",27,"MIN",40
"1180",28,"MIN",17
"1181",29,"MIN",-1
"1182",30,"MIN",-14
"1183",31,"MIN",21
"1184",32,"MIN",-16
"1185",33,"MIN",9
"1186",34,"MIN",11
"1187",35,"MIN",12
"1188",36,"MIN",-3
"1189",37,"MIN",5
"1190",38,"MIN",-24
"1191",39,"MIN",-12
"1192",40,"MIN",-22
"1193",41,"MIN",36
"1194",42,"MIN",-9
"1195",43,"MIN",-36
"1196",44,"MIN",-5
"1197",45,"MIN",-7
"1198",46,"MIN",37
"1199",47,"MIN",3
"1200",48,"MIN",-30
"1201",1,"SAS",-44
"1202",2,"SAS",-1
"1203",3,"SAS",19
"1204",4,"SAS",-39
"1205",5,"SAS",5
"1206",6,"SAS",11
"1207",7,"SAS",5
"1208",8,"SAS",-1
"1209",9,"SAS",45
"1210",10,"SAS",-30
"1211",11,"SAS",63
"1212",12,"SAS",4
"1213",13,"SAS",-3
"1214",14,"SAS",7
"1215",15,"SAS",44
"1216",16,"SAS",-10
"1217",17,"SAS",-9
"1218",18,"SAS",-17
"1219",19,"SAS",23
"1220",20,"SAS",2
"1221",21,"SAS",-3
"1222",22,"SAS",-5
"1223",23,"SAS",-17
"1224",24,"SAS",-1
"1225",25,"SAS",-8
"1226",26,"SAS",21
"1227",27,"SAS",3
"1228",28,"SAS",-19
"1229",29,"SAS",25
"1230",30,"SAS",-8
"1231",31,"SAS",17
"1232",32,"SAS",9
"1233",33,"SAS",-3
"1234",34,"SAS",-8
"1235",35,"SAS",10
"1236",36,"SAS",-4
"1237",37,"SAS",23
"1238",38,"SAS",-8
"1239",39,"SAS",27
"1240",40,"SAS",10
"1241",41,"SAS",24
"1242",42,"SAS",-57
"1243",43,"SAS",26
"1244",44,"SAS",24
"1245",45,"SAS",-20
"1246",46,"SAS",25
"1247",47,"SAS",-27
"1248",48,"SAS",-17
"1249",1,"WAS",-10
"1250",2,"WAS",-24
"1251",3,"WAS",10
"1252",4,"WAS",13
"1253",5,"WAS",-41
"1254",6,"WAS",6
"1255",7,"WAS",-15
"1256",8,"WAS",-15
"1257",9,"WAS",-28
"1258",10,"WAS",-29
"1259",11,"WAS",-34
"1260",12,"WAS",-7
"1261",13,"WAS",11
"1262",14,"WAS",-22
"1263",15,"WAS",11
"1264",16,"WAS",-11
"1265",17,"WAS",14
"1266",18,"WAS",50
"1267",19,"WAS",-21
"1268",20,"WAS",-5
"1269",21,"WAS",-2
"1270",22,"WAS",-8
"1271",23,"WAS",-30
"1272",24,"WAS",-1
"1273",25,"WAS",-10
"1274",26,"WAS",-25
"1275",27,"WAS",11
"1276",28,"WAS",-35
"1277",29,"WAS",-47
"1278",30,"WAS",4
"1279",31,"WAS",-11
"1280",32,"WAS",3
"1281",33,"WAS",-20
"1282",34,"WAS",-3
"1283",35,"WAS",3
"1284",36,"WAS",-2
"1285",37,"WAS",-20
"1286",38,"WAS",29
"1287",39,"WAS",-32
"1288",40,"WAS",12
"1289",41,"WAS",34
"1290",42,"WAS",46
"1291",43,"WAS",28
"1292",44,"WAS",21
"1293",45,"WAS",-36
"1294",46,"WAS",18
"1295",47,"WAS",2
"1296",48,"WAS",16
"1297",1,"LAL",16
"1298",2,"LAL",-48
"1299",3,"LAL",-31
"1300",4,"LAL",-18
"1301",5,"LAL",-67
"1302",6,"LAL",12
"1303",7,"LAL",-7
"1304",8,"LAL",-6
"1305",9,"LAL",-19
"1306",10,"LAL",25
"1307",11,"LAL",-30
"1308",12,"LAL",27
"1309",13,"LAL",-46
"1310",14,"LAL",-6
"1311",15,"LAL",57
"1312",16,"LAL",18
"1313",17,"LAL",-17
"1314",18,"LAL",31
"1315",19,"LAL",40
"1316",20,"LAL",-28
"1317",21,"LAL",12
"1318",22,"LAL",2
"1319",23,"LAL",-14
"1320",24,"LAL",-4
"1321",25,"LAL",27
"1322",26,"LAL",-25
"1323",27,"LAL",-18
"1324",28,"LAL",11
"1325",29,"LAL",-7
"1326",30,"LAL",-8
"1327",31,"LAL",4
"1328",32,"LAL",17
"1329",33,"LAL",26
"1330",34,"LAL",16
"1331",35,"LAL",-10
"1332",36,"LAL",4
"1333",37,"LAL",-9
"1334",38,"LAL",-4
"1335",39,"LAL",-6
"1336",40,"LAL",17
"1337",41,"LAL",-40
"1338",42,"LAL",12
"1339",43,"LAL",-1
"1340",44,"LAL",-13
"1341",45,"LAL",-9
"1342",46,"LAL",-21
"1343",47,"LAL",-9
"1344",48,"LAL",-16
"1345",1,"POR",35
"1346",2,"POR",-2
"1347",3,"POR",-41
"1348",4,"POR",78
"1349",5,"POR",44
"1350",6,"POR",-23
"1351",7,"POR",17
"1352",8,"POR",36
"1353",9,"POR",29
"1354",10,"POR",-11
"1355",11,"POR",-7
"1356",12,"POR",-16
"1357",13,"POR",-17
"1358",14,"POR",-27
"1359",15,"POR",-16
"1360",16,"POR",7
"1361",17,"POR",10
"1362",18,"POR",30
"1363",19,"POR",-40
"1364",20,"POR",35
"1365",21,"POR",26
"1366",22,"POR",17
"1367",23,"POR",3
"1368",24,"POR",47
"1369",25,"POR",2
"1370",26,"POR",16
"1371",27,"POR",-25
"1372",28,"POR",17
"1373",29,"POR",15
"1374",30,"POR",13
"1375",31,"POR",26
"1376",32,"POR",7
"1377",33,"POR",18
"1378",34,"POR",-11
"1379",35,"POR",8
"1380",36,"POR",16
"1381",37,"POR",13
"1382",38,"POR",-13
"1383",39,"POR",-12
"1384",40,"POR",20
"1385",41,"POR",-1
"1386",42,"POR",7
"1387",43,"POR",17
"1388",44,"POR",-18
"1389",45,"POR",-1
"1390",46,"POR",-24
"1391",47,"POR",-25
"1392",48,"POR",7
"1393",1,"CHI",-20
"1394",2,"CHI",10
"1395",3,"CHI",24
"1396",4,"CHI",1
"1397",5,"CHI",-25
"1398",6,"CHI",-37
"1399",7,"CHI",9
"1400",8,"CHI",-8
"1401",9,"CHI",-20
"1402",10,"CHI",6
"1403",11,"CHI",-31
"1404",12,"CHI",15
"1405",13,"CHI",-55
"1406",14,"CHI",-19
"1407",15,"CHI",-31
"1408",16,"CHI",7
"1409",17,"CHI",-41
"1410",18,"CHI",-3
"1411",19,"CHI",-39
"1412",20,"CHI",-18
"1413",21,"CHI",-5
"1414",22,"CHI",8
"1415",23,"CHI",18
"1416",24,"CHI",-57
"1417",25,"CHI",-44
"1418",26,"CHI",14
"1419",27,"CHI",-40
"1420",28,"CHI",3
"1421",29,"CHI",-28
"1422",30,"CHI",3
"1423",31,"CHI",-21
"1424",32,"CHI",-35
"1425",33,"CHI",-8
"1426",34,"CHI",-16
"1427",35,"CHI",-15
"1428",36,"CHI",-30
"1429",37,"CHI",-17
"1430",38,"CHI",-22
"1431",39,"CHI",-4
"1432",40,"CHI",-2
"1433",41,"CHI",8
"1434",42,"CHI",-33
"1435",43,"CHI",-65
"1436",44,"CHI",10
"1437",45,"CHI",-12
"1438",46,"CHI",-16
"1439",47,"CHI",33
"1440",48,"CHI",24
